time,active_time,concentration,end_criterion,evaluations,f_density
128.2650046,1.543402,20100.24053,-5.29E-06,494,122.8860757
130.5570229,1.543402,20100.2355,-5.07E-06,499,122.420804
132.9636422,1.543402,20100.23452,-4.92E-06,504,121.9475154
135.4905924,1.543402,20100.22894,-4.79E-06,509,121.4637293
138.1438901,1.543402,20100.22941,-4.68E-06,514,120.9671433
140.9298527,1.543402,20100.22414,-4.58E-06,519,120.4564904
143.8551134,1.543402,20100.22836,-4.50E-06,524,119.930457
146.9266371,1.543402,20100.22676,-4.41E-06,530,119.3881138
149.9981609,1.543402,20100.22576,-4.34E-06,536,118.8544619
153.0696847,1.543402,20100.2226,-4.28E-06,541,118.3287466
156.2947846,1.543402,20100.22977,-4.23E-06,547,117.7835973
159.5198845,1.543402,20100.22703,-4.18E-06,553,117.2441701
162.7449845,1.543402,20100.23128,-4.16E-06,559,116.7080886
165.9700844,1.543402,20100.22938,-4.15E-06,565,116.1721958
169.1951844,1.543402,20100.23581,-4.20E-06,571,115.6302583
172.4202843,1.543402,20100.24051,-4.36E-06,577,115.0674415
175.6453843,1.543402,20100.2389,-5.02E-06,584,114.4197643
178.8704842,1.543402,20100.2451,-5.83E-06,600,113.6673306
180.4830342,1.543402,20100.25208,-5.31E-06,606,113.3247426
182.0955842,1.543402,20100.25058,-4.63E-06,612,113.0259999
183.7081341,1.543402,20100.25087,-4.13E-06,617,112.7597071
185.4013116,1.543402,20100.24685,-3.76E-06,622,112.5051011
187.1791479,1.543402,20100.25233,-3.50E-06,627,112.2560219
189.0458761,1.543402,20100.25642,-3.32E-06,632,112.0082257
191.0059407,1.543402,20100.2594,-3.19E-06,637,111.7578742
193.0640085,1.543402,20100.26542,-3.10E-06,642,111.502843
195.2249797,1.543402,20100.27143,-3.03E-06,647,111.2410918
197.4939994,1.543402,20100.27807,-2.97E-06,652,110.971633
199.8764701,1.543402,20100.28531,-2.92E-06,657,110.6934344
200,1.543402,20100.29346,-2.85E-06,661,110.6793638
202.3824707,1.543402,20100.29763,-2.87E-06,666,110.4056128
204.884065,1.543402,20100.30677,-2.83E-06,671,110.1226057
207.510739,1.543402,20100.30259,-2.79E-06,676,109.8297204
210.2687467,1.543402,20100.31148,-2.74E-06,681,109.5269189
213.1646547,1.543402,20100.30203,-2.70E-06,686,109.2137395
216.2053582,1.543402,20100.31304,-2.66E-06,691,108.8901861
219.3980969,1.543402,20100.30879,-2.62E-06,696,108.5557992
222.7504724,1.543402,20100.31196,-2.57E-06,701,108.2106515
226.2704668,1.543402,20100.31122,-2.53E-06,706,107.8543558
229.9664609,1.543402,20100.30984,-2.49E-06,711,107.4867571
233.8472546,1.543402,20100.30387,-2.44E-06,716,107.1077379
237.9220881,1.543402,20100.30549,-2.40E-06,722,106.7169928
241.9969216,1.543402,20100.29778,-2.35E-06,728,106.333407
246.071755,1.543402,20100.2997,-2.31E-06,734,105.956495
250.1465885,1.543402,20100.29465,-2.27E-06,740,105.586177
254.221422,1.543402,20100.29991,-2.23E-06,745,105.2220654
258.4999971,1.543402,20100.29414,-2.20E-06,751,104.8463113
262.7785723,1.543402,20100.29957,-2.16E-06,757,104.4768585
267.0571474,1.543402,20100.29769,-2.12E-06,762,104.1135504
271.5496513,1.543402,20100.30455,-2.09E-06,768,103.7384136
276.0421552,1.543402,20100.30353,-2.05E-06,774,103.3694954
280.5346591,1.543402,20100.31052,-2.02E-06,780,103.0065312
285.027163,1.543402,20100.31257,-1.99E-06,786,102.6493682
289.5196669,1.543402,20100.31816,-1.96E-06,791,102.297754
294.236796,1.543402,20100.32208,-1.93E-06,797,101.934467
298.9539251,1.543402,20100.31993,-1.90E-06,802,101.5768868
303.9069106,1.543402,20100.32336,-1.86E-06,807,101.2074647
309.1075454,1.543402,20100.3165,-1.83E-06,813,100.8259915
314.3081803,1.543402,20100.31761,-1.80E-06,819,100.4507966
319.5088151,1.543402,20100.30826,-1.77E-06,825,100.0816732
324.7094499,1.543402,20100.31227,-1.75E-06,831,99.7185326
329.9100847,1.543402,20100.30863,-1.72E-06,836,99.36107959
335.3707513,1.543402,20100.31065,-1.69E-06,842,98.9918641
340.8314179,1.543402,20100.30684,-1.66E-06,847,98.62856436
346.5651177,1.543402,20100.30327,-1.64E-06,853,98.25339981
352.2988176,1.543402,20100.30058,-1.61E-06,859,97.88437581
